Timestamp;co2;humidity;light;soilHumidity;soilTemperature;temperature
2022-02-07 15:11:05;365.9342105263158;25;10;40.849030470914116;23;24
2022-02-07 15:31:15;356.1;25;10;41.0421052631579;23;24
2022-02-07 15:51:25;354.3142857142857;25;10;40.66917293233083;23;24
2022-02-07 16:11:35;353.3611111111111;25;9.791666666666666;40.80263157894737;23;24
2022-02-07 16:31:45;359.2535211267606;25;9;40.4862861378799;23;24
2022-02-07 16:51:55;352.4117647058824;25;9;40.44582043343653;23;24
2022-02-07 17:12:05;348.1470588235294;25;9;40.56346749226005;23;24
2022-02-07 17:32:15;348.74626865671644;25;9;41.01335428122545;23;24
2022-02-07 17:52:25;345.7121212121212;25;9;40.62998405103668;23;24
2022-02-07 18:12:35;346.26153846153846;25;9;40.8421052631579;23;24
2022-02-07 18:32:45;343.83673469387753;25;9;40.73469387755102;23;24
2022-02-07 19:13:05;330.9;23.75;8.55;51.057894736842094;21.85;22.8
2022-02-07 19:33:15;348.24;25;9;40.55719298245614;23;24
2022-02-07 19:53:25;354;25;9;40.126934984520126;23;24
2022-02-07 20:13:35;348.05882352941177;25;9;40.15479876160991;23;24
2022-02-07 20:33:45;342.7142857142857;25;9;40.809022556390985;23;24
2022-02-07 20:53:55;347.36842105263156;25;9;41.0803324099723;23;23.605263157894736
2022-02-07 21:14:05;348.1066666666667;25;9;41.327719298245604;23;23
2022-02-07 21:34:15;350;25;9;41.3283914010378;23;23
2022-02-07 21:54:25;346.36619718309856;25;9;41.60266864343959;23;23
2022-02-07 22:14:35;339.40277777777777;25;9;41.75730994152046;23;23
2022-02-07 22:34:45;336.6811594202899;25;9;41.92982456140351;23;23
2022-02-07 22:54:55;331.57971014492756;25.10144927536232;9;42.164759725400444;23;23
2022-02-07 23:15:05;332.1818181818182;25.227272727272727;9;42.40669856459329;23;23
2022-02-07 23:35:15;331.2089552238806;25.35820895522388;9;42.6457187745483;23;22.19402985074627
2022-02-07 23:55:25;332.6060606060606;25.666666666666668;9;42.42743221690589;23;22
2022-02-08 00:15:35;331.45454545454544;25.333333333333332;9;42.59649122807018;23;22
2022-02-08 00:35:45;331;25.103448275862068;9;42.622504537205096;23;22
2022-02-08 01:16:05;266.4;20;7.2;84.46315789473685;18.4;17.6
2022-02-08 01:36:15;330.6933333333333;25;9;42.83368421052632;23;22
2022-02-08 01:56:25;330.4142857142857;25;9;42.56992481203008;23;22
2022-02-08 02:16:35;333.969696969697;25;9;43.170653907496;23;22
2022-02-08 02:36:45;333.9577464788732;25;9;43.02446256486287;23;22
2022-02-08 02:56:55;326.5342465753425;25;9;43.0814708002884;23;22
2022-02-08 03:17:05;329.1081081081081;25;9;43.35277382645803;23;22
2022-02-08 03:37:15;329.0405405405405;25;9;43.069701280227584;23;22
2022-02-08 03:57:25;327.75;25;9;43.280185758513944;23;22
2022-02-08 04:17:35;329.7671232876712;25;9;43.439077144917086;23;21.506849315068493
2022-02-08 04:37:45;332.7671232876712;25.054794520547944;9;43.21124729632299;23;21
2022-02-08 04:57:55;333.32394366197184;25.169014084507044;9;43.467753891771686;23;21
2022-02-08 05:18:05;333.77142857142854;25.114285714285714;9;43.30225563909775;23;21
2022-02-08 05:38:15;330.2173913043478;25.202898550724637;9;43.1395881006865;23;21
2022-02-08 05:58:25;327.463768115942;25.463768115942027;9;43.44774980930587;23;21
2022-02-08 06:18:35;327.09090909090907;25.09090909090909;9;42.58054226475279;23;21.636363636363637
2022-02-08 06:38:45;328.984126984127;25;9;42.493528904227794;23;22
2022-02-08 07:19:05;0;0;0;252.6315789473684;0;0
2022-02-08 07:39:15;332.1842105263158;25;9;42.2049861495845;23;22
2022-02-08 07:59:25;331.943661971831;25;9;41.438102297998526;23;22.577464788732396
2022-02-08 08:19:35;332.9117647058824;25;9;40.94272445820434;23;23
2022-02-08 08:39:45;337.3142857142857;25;9;41.82105263157894;23;23
2022-02-08 08:59:55;336.82191780821915;25;9;41.09877433309301;23;23
2022-02-08 09:20:05;337.2432432432432;25;9;40.72830725462305;23;23
2022-02-08 09:40:15;341.1666666666667;25;9;40.86549707602339;23;23
2022-02-08 10:00:25;343.19444444444446;25;9;40.78576723498887;23;23
2022-02-08 10:20:35;343.9166666666667;25;9;40.38932948810383;23;23.65753424657534
2022-02-08 10:40:45;346.2903225806452;25;9;40.675721561969446;23;24
2022-02-08 11:00:55;344.76666666666665;25;9;40.55438596491228;23;24
2022-02-08 11:21:05;353.85714285714283;25;9;40.18421052631579;23;24
2022-02-08 11:41:15;352.77777777777777;25;9;40.18546365914787;23;24
2022-02-08 12:01:25;343.8541666666667;25;9;40.05701754385965;23;24
2022-02-08 12:21:35;342.79245283018867;25;9;40.232373386295926;23;24
2022-02-08 12:41:45;344.2692307692308;25;9;39.67611336032388;23;24
2022-02-08 13:01:55;342.12;25;9.6;40.01263157894736;23;24
2022-02-08 13:22:05;345;25;10;39.69736842105263;23;24
2022-02-08 14:02:25;340.4;24.545454545454547;9.818181818181818;43.41052631578948;22.581818181818182;23.563636363636363
2022-02-08 14:22:35;346.2307692307692;25;10;39.53441295546559;23;24.884615384615383
2022-02-08 14:42:45;342.74074074074076;25;10;39.62573099415204;23;25
2022-02-08 15:02:55;345.23636363636365;25;10;39.70526315789474;23;25
2022-02-08 15:23:05;350.03636363636366;25;10;39.21531100478468;23;25
2022-02-08 15:43:15;341.5;25;10;38.70445344129554;23;25
2022-02-08 16:03:25;344;25;10;39.200779727095515;23;25
2022-02-08 16:23:35;344;25;9.72;38.879999999999995;23;25
